Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
ic6v8315639afolio,IC6 V8315 639a Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic6v8355606t,IC6 V8355 606t,Call Number,Call Number,Copy,Call Number,Secondary 
ic6v8382607o,IC6 V8382 607o,Call Number,Call Number,Copy,Call Number,Secondary 
ic6zu826600i,IC6 Zu826 600i,Call Number,Call Number,Copy,Call Number,Secondary 
ic6zu826600i1614,IC6 Zu826 600i 1614,Call Number,Call Number,Copy,Call Number,Secondary 
ic6zu826601c,IC6 Zu826 601c,Call Number,Call Number,Copy,Call Number,Secondary 
ic65a100695t,IC65 A100 695t,Call Number,Call Number,Copy,Call Number,Secondary 
ic65af893ei684r,IC65 Af893 Ei684r,Call Number,Call Number,Copy,Call Number,Secondary 
ic65ap695673b,IC65 Ap695 673b,Call Number,Call Number,Copy,Call Number,Secondary 
ic65ar542682d,IC65 Ar542 682d,Call Number,Call Number,Copy,Call Number,Secondary 
ic65b2883698d,IC65 B2883 698d,Call Number,Call Number,Copy,Call Number,Secondary 
ic65b4576675s,IC65 B4576 675s,Call Number,Call Number,Copy,Call Number,Secondary 
ic65b6388g672m,IC65 B6388g 672m,Call Number,Call Number,Copy,Call Number,Secondary 
ic65b6388l653d,IC65 B6388L 653d,Call Number,Call Number,Copy,Call Number,Secondary 
ic65b6402675p,IC65 B6402 675p,Call Number,Call Number,Copy,Call Number,Secondary 
ic65b8388680dfolio,IC65 B8388 680d Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65c1397668c,IC65 C1397 668c,Call Number,Call Number,Copy,Call Number,Secondary 
ic65c1763690a,IC65 C1763 690a,Call Number,Call Number,Copy,Call Number,Secondary 
ic65c2798650s,IC65 C2798 650s,Call Number,Call Number,Copy,Call Number,Secondary 
ic65c2802652p1667,IC65 C2802 652p 1667,Call Number,Call Number,Copy,Call Number,Secondary 
ic65c3306664n,IC65 C3306 664n,Call Number,Call Number,Copy,Call Number,Secondary 
ic65c8168685i1688,IC65 C8168 685i 1688,Call Number,Call Number,Copy,Call Number,Secondary 
ic65c8168eg687h,IC65 C8168 Eg687h,Call Number,Call Number,Copy,Call Number,Secondary 
ic65d7428652a,IC65 D7428 652a,Call Number,Call Number,Copy,Call Number,Secondary 
ic65f4763684c,IC65 F4763 684c,Call Number,Call Number,Copy,Call Number,Secondary 
ic65f7654699s,IC65 F7654 699s,Call Number,Call Number,Copy,Call Number,Secondary 
ic65g3452653c,IC65 G3452 653c,Call Number,Call Number,Copy,Call Number,Secondary 
ic65g5849653m,IC65 G5849 653m,Call Number,Call Number,Copy,Call Number,Secondary 
ic65g7897717t,IC65 G7897 717t,Call Number,Call Number,Copy,Call Number,Secondary 
ic65g9317656h,IC65 G9317 656h,Call Number,Call Number,Copy,Call Number,Secondary 
ic65g9317668r,IC65 G9317 668r,Call Number,Call Number,Copy,Call Number,Secondary 
ic65g9317668r2,IC65 G9317 668r2,Call Number,Call Number,Copy,Call Number,Secondary 
ic65l5687685c,IC65 L5687 685c,Call Number,Call Number,Copy,Call Number,Secondary 
ic65l8872692i,IC65 L8872 692i,Call Number,Call Number,Copy,Call Number,Secondary 
ic65m2988c698ofolio,IC65 M2988 C698o Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65m4534677v,IC65 M4534 677v,Call Number,Call Number,Copy,Call Number,Secondary 
ic65m5897l688gfolio,IC65 M5897L 688g Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65m8288686mfolio,IC65 M8288 686m Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65n1627661o,IC65 N1627 661o,Call Number,Call Number,Copy,Call Number,Secondary 
ic65n7187662g,IC65 N7187 662g,Call Number,Call Number,Copy,Call Number,Secondary 
ic65p2402g690g,IC65 P2402G 690g,Call Number,Call Number,Copy,Call Number,Secondary 
ic65p2603682r,IC65 P2603 682r,Call Number,Call Number,Copy,Call Number,Secondary 
ic65p4468668d,IC65 P4468 668d,Call Number,Call Number,Copy,Call Number,Secondary 
ic65r7357656c1672folio,IC65 R7357 656c 1672 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65sa390656h,IC65 Sa390 656h,Call Number,Call Number,Copy,Call Number,Secondary 
ic65sa394zz720rfolio,IC65 Sa394 Zz720r Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65sa594675c,IC65 Sa594 675c,Call Number,Call Number,Copy,Call Number,Secondary 
ic65sc472670v,IC65 Sc472 670v,Call Number,Call Number,Copy,Call Number,Secondary 
ic65sc742683h1684folio,IC65 Sc742 683h 1684 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65se656657pfolio,IC65 Se656 657p Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic65se666696s,IC65 Se666 696s,Call Number,Call Number,Copy,Call Number,Secondary 
ic65t1778670t,IC65 T1778 670t,Call Number,Call Number,Copy,Call Number,Secondary 
ic65t5917670t,IC65 T5917 670t,Call Number,Call Number,Copy,Call Number,Secondary 
ic65v2426660l,IC65 V2426 660l,Call Number,Call Number,Copy,Call Number,Secondary 
ic65v8399656d,IC65 V8399 656d,Call Number,Call Number,Copy,Call Number,Secondary 
ic7c2638719j1740folio,IC7 C2638 719j 1740 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic7f1357726c,IC7 F1357 726c,Call Number,Call Number,Copy,Call Number,Secondary 
ic7k7498928a,IC7 K7498 928a,Call Number,Call Number,Copy,Call Number,Secondary 
ic7m3326741m,IC7 M3326 741m,Call Number,Call Number,Copy,Call Number,Secondary 
ic7m3636697f1703,IC7 M3636 697f 1703,Call Number,Call Number,Copy,Call Number,Secondary 
ic7m4687701c,IC7 M4687 701c,Call Number,Call Number,Copy,Call Number,Secondary 
ic7m5897714gfolio,IC7 M5897 714g Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic7r3399763dfolio,IC7 R3399 763d Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic7si124714cfolio,IC7 Si124 714c Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic7v8884756l,IC7 V8884 756l,Call Number,Call Number,Copy,Call Number,Secondary 
ic7za147763g,IC7 Za147 763g,Call Number,Call Number,Copy,Call Number,Secondary 
ic7za167739sfolio,IC7 Za167 739s Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic75a100759r,IC75 A100 759r,Call Number,Call Number,Copy,Call Number,Secondary 
ic75a100767c,IC75 A100 767c,Call Number,Call Number,Copy,Call Number,Secondary 
ic75a100c799,IC75 A100 C799,Call Number,Call Number,Copy,Call Number,Secondary 
ic75b4174761mfolio,IC75 B4174 761m Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic75c2637eh826m1843,IC75 C2637 Eh826m 1843,Call Number,Call Number,Copy,Call Number,Secondary 
ic75m3666758l,IC75 M3666 758l,Call Number,Call Number,Copy,Call Number,Secondary 
ic75r3113765m,IC75 R3113 765m,Call Number,Call Number,Copy,Call Number,Secondary 
ic75r7358762r,IC75 R7358 762r,Call Number,Call Number,Copy,Call Number,Secondary 
ic75r7358762r1763,IC75 R7358 762r 1763,Call Number,Call Number,Copy,Call Number,Secondary 
ic75r7693781p,IC75 R7693 781p,Call Number,Call Number,Copy,Call Number,Secondary 
ic75sc688776f,IC75 Sc688 776f,Call Number,Call Number,Copy,Call Number,Secondary 
ic8c2868c800folio,IC8 C2868 C800 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic8m9844835d,IC8 M9844 835d,Call Number,Call Number,Copy,Call Number,Secondary 
ic8p7658839m,IC8 P7658 839m,Call Number,Call Number,Copy,Call Number,Secondary 
ic85g2882892rfolio,IC85 G2882 892r Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ic85n1665874c,IC85 N1665 874c,Call Number,Call Number,Copy,Call Number,Secondary 
ickwellburylibrary,Ickwell Bury Library,Entity,Call Number,Copy,Call Number,Secondary 
inca1001folio,Inc A-1001 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca1004folio,Inc A-1004 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca10105folio,Inc A-1010.5 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca1013folio,Inc A-1013 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca1046folio,Inc A-1046 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca1192,Inc A-1192,Call Number,Call Number,Copy,Call Number,Secondary 
inca1210,Inc A-1210,Call Number,Call Number,Copy,Call Number,Secondary 
inca1221folio,Inc A-1221 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca1232folio,Inc A-1232 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca1352,Inc A-1352,Call Number,Call Number,Copy,Call Number,Secondary 
inca1416folio,Inc A-1416 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca17folio,Inc A-17 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca199a,Inc A-199a,Call Number,Call Number,Copy,Call Number,Secondary 
inca2071,Inc A-207.1,Call Number,Call Number,Copy,Call Number,Secondary 
inca237folio,Inc A-237 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca339folio,Inc A-339 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca385folio,Inc A-385 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca551folio,Inc A-551 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca551pt1folio,Inc A-551 pt. 1 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca551pt2folio,Inc A-551 pt. 2 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca551pt3folio,Inc A-551 pt. 3 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca579folio,Inc A-579 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca69folio,Inc A-69 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca790lea,Inc A-790 Lea,Call Number,Call Number,Copy,Call Number,Secondary 
inca935folio,Inc A-935 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca938folio,Inc A-938 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca959copy1folio,Inc A-959 copy 1 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca959copy2folio,Inc A-959 copy 2 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca959folio,Inc A-959 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca970folio,Inc A-970 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca976folio,Inc A-976 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca979folio,Inc A-979 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca983folio,Inc A-983 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca991folio,Inc A-991 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inca993folio,Inc A-993 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb1201,Inc B-1201,Call Number,Call Number,Copy,Call Number,Secondary 
incb1219folio,Inc B-1219 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb1222,Inc B-1222,Call Number,Call Number,Copy,Call Number,Secondary 
incb1227folio,Inc B-1227 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb1300folio,Inc B-1300 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb1311folio,Inc B-1311 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb1336,Inc B-1336,Call Number,Call Number,Copy,Call Number,Secondary 
incb137folio,Inc B-137 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb138copy2folio,Inc B-138 copy 2 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb138folio,Inc B-138 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb143folio,Inc B-143 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb176,Inc B-176,Call Number,Call Number,Copy,Call Number,Secondary 
incb280folio,Inc B-280 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb323,Inc B-323,Call Number,Call Number,Copy,Call Number,Secondary 
incb328,Inc B-328,Call Number,Call Number,Copy,Call Number,Secondary 
incb374,Inc B-374,Call Number,Call Number,Copy,Call Number,Secondary 
incb491,Inc B-491,Call Number,Call Number,Copy,Call Number,Secondary 
incb543folio,Inc B-543 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb561folio,Inc B-561 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb563folio,Inc B-563 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb600,Inc B-600,Call Number,Call Number,Copy,Call Number,Secondary 
incb601,Inc B-601,Call Number,Call Number,Copy,Call Number,Secondary 
incb603,Inc B-603,Call Number,Call Number,Copy,Call Number,Secondary 
incb618copy2folio,Inc B-618 copy 2 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb618folio,Inc B-618 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb653folio,Inc B-653 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb695,Inc B-695,Call Number,Call Number,Copy,Call Number,Secondary 
incb720,Inc B-720,Call Number,Call Number,Copy,Call Number,Secondary 
incb744,Inc B-744,Call Number,Call Number,Copy,Call Number,Secondary 
incb749folio,Inc B-749 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb756folio,Inc B-756 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb781folio,Inc B-781 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incb879,Inc B-879,Call Number,Call Number,Copy,Call Number,Secondary 
incb919,Inc B-919,Call Number,Call Number,Copy,Call Number,Secondary 
incc1020,Inc C-1020,Call Number,Call Number,Copy,Call Number,Secondary 
incc144,Inc C-144,Call Number,Call Number,Copy,Call Number,Secondary 
incc145,Inc C-145,Call Number,Call Number,Copy,Call Number,Secondary 
incc204folio,Inc C-204 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incc332,Inc C-332,Call Number,Call Number,Copy,Call Number,Secondary 
incc338,Inc C-338,Call Number,Call Number,Copy,Call Number,Secondary 
incc349,Inc C-349,Call Number,Call Number,Copy,Call Number,Secondary 
incc368,Inc C-368,Call Number,Call Number,Copy,Call Number,Secondary 
incc372,Inc C-372,Call Number,Call Number,Copy,Call Number,Secondary 
incc373,Inc C-373,Call Number,Call Number,Copy,Call Number,Secondary 
incc442,Inc C-442,Call Number,Call Number,Copy,Call Number,Secondary 
incc574folio,Inc C-574 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incc665,Inc C-66.5,Call Number,Call Number,Copy,Call Number,Secondary 
incc665folio,Inc C-665 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incc703,Inc C-703,Call Number,Call Number,Copy,Call Number,Secondary 
incc744,Inc C-744,Call Number,Call Number,Copy,Call Number,Secondary 
incc863,Inc C-863,Call Number,Call Number,Copy,Call Number,Secondary 
incc910,Inc C-910,Call Number,Call Number,Copy,Call Number,Secondary 
incc988,Inc C-988,Call Number,Call Number,Copy,Call Number,Secondary 
incd163,Inc D-163,Call Number,Call Number,Copy,Call Number,Secondary 
incd190,Inc D-190,Call Number,Call Number,Copy,Call Number,Secondary 
incd203,Inc D-203,Call Number,Call Number,Copy,Call Number,Secondary 
incd36,Inc D-36,Call Number,Call Number,Copy,Call Number,Secondary 
incd369,Inc D-369,Call Number,Call Number,Copy,Call Number,Secondary 
incd37,Inc D-37,Call Number,Call Number,Copy,Call Number,Secondary 
incd372folio,Inc D-372 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ince1111,Inc E-111.1,Call Number,Call Number,Copy,Call Number,Secondary 
ince113folio,Inc E-113 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ince121folio,Inc E-121 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ince170folio,Inc E-170 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
ince25,Inc E-2.5,Call Number,Call Number,Copy,Call Number,Secondary 
ince64,Inc E-64,Call Number,Call Number,Copy,Call Number,Secondary 
incf247folio,Inc F-247 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incf2521,Inc F-252.1,Call Number,Call Number,Copy,Call Number,Secondary 
incf314,Inc F-314,Call Number,Call Number,Copy,Call Number,Secondary 
incg110folio,Inc G-110 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incg122folio,Inc G-122 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incg147folio,Inc G-147 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incg176,Inc G-176,Call Number,Call Number,Copy,Call Number,Secondary 
incg28folio,Inc G-28 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incg36folio,Inc G-36 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incg499,Inc G-499,Call Number,Call Number,Copy,Call Number,Secondary 
incg6folio,Inc G-6 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incg644,Inc G-644,Call Number,Call Number,Copy,Call Number,Secondary 
incg715,Inc G-715,Call Number,Call Number,Copy,Call Number,Secondary 
inch111folio,Inc H-111 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inch124folio,Inc H-124 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inch135,Inc H-135,Call Number,Call Number,Copy,Call Number,Secondary 
inch151,Inc H-151,Call Number,Call Number,Copy,Call Number,Secondary 
inch17,Inc H-17,Call Number,Call Number,Copy,Call Number,Secondary 
inch206,Inc H-206,Call Number,Call Number,Copy,Call Number,Secondary 
inch248,Inc H-248,Call Number,Call Number,Copy,Call Number,Secondary 
inch271,Inc H-271,Call Number,Call Number,Copy,Call Number,Secondary 
inch289folio,Inc H-289 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inch439,Inc H-439,Call Number,Call Number,Copy,Call Number,Secondary 
inch487folio,Inc H-487 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inch57folio,Inc H-57 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
inch80,Inc H-80,Call Number,Call Number,Copy,Call Number,Secondary 
inci213,Inc I-213,Call Number,Call Number,Copy,Call Number,Secondary 
inci5,Inc I-5,Call Number,Call Number,Copy,Call Number,Secondary 
inci69folio,Inc I-69 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incj125,Inc J-125,Call Number,Call Number,Copy,Call Number,Secondary 
incj208folio,Inc J-208 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incj410,Inc J-410,Call Number,Call Number,Copy,Call Number,Secondary 
incj427folio,Inc J-427 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incj660,Inc J-660,Call Number,Call Number,Copy,Call Number,Secondary 
incj667,Inc J-667,Call Number,Call Number,Copy,Call Number,Secondary 
incl296folio,Inc L-296 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incl314folio,Inc L-314 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incl372,Inc L-372,Call Number,Call Number,Copy,Call Number,Secondary 
incl5folio,Inc L-5 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incm129,Inc M-129,Call Number,Call Number,Copy,Call Number,Secondary 
incm183,Inc M-183,Call Number,Call Number,Copy,Call Number,Secondary 
incm246folio,Inc M-246 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incm285,Inc M-285,Call Number,Call Number,Copy,Call Number,Secondary 
incm32,Inc M-32,Call Number,Call Number,Copy,Call Number,Secondary 
incm342,Inc M-342,Call Number,Call Number,Copy,Call Number,Secondary 
incm388folio,Inc M-388 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incm442folio,Inc M-442 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incm447,Inc M-447,Call Number,Call Number,Copy,Call Number,Secondary 
incm452,Inc M-452,Call Number,Call Number,Copy,Call Number,Secondary 
incm467,Inc M-467,Call Number,Call Number,Copy,Call Number,Secondary 
incm499folio,Inc M-499 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incm810folio,Inc M-810 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incm831folio,Inc M-831 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incm91folio,Inc M-91 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incn10,Inc N-10,Call Number,Call Number,Copy,Call Number,Secondary 
incn132folio,Inc N-132 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incn141,Inc N-141,Call Number,Call Number,Copy,Call Number,Secondary 
incn209folio,Inc N-209 Folio,Call Number,Call Number,Copy,Call Number,Secondary 
incn23,Inc N-23,Call Number,Call Number,Copy,Call Number,Secondary 
incn231,Inc N-231,Call Number,Call Number,Copy,Call Number,Secondary 
incn245,Inc N-245,Call Number,Call Number,Copy,Call Number,Secondary 
incn34,Inc N-34,Call Number,Call Number,Copy,Call Number,Secondary 
incn411,Inc N-41.1,Call Number,Call Number,Copy,Call Number,Secondary 
